,GICS,TOPIX,Turnover,advisor,code,currencyCode,sector,side,strategy,firstTradeDate
2014/12/31,Consumer Discretionary,Construction,68715000,HA,1407,JPY,Tail,S,Solar,2014-12-03
2014/12/31,Consumer Discretionary,Construction,10892600,HA,1407,JPY,Tail,S,Solar,2014-12-03
2014/12/31,Consumer Discretionary,Construction,2850400,HA,1407,JPY,Tail,S,Solar,2014-12-03
2014/12/31,Index,Index,2858498100,Bal,1552,JPY,Vol,L,Balance,2012-03-19
2014/12/31,Index,Index,444153880,Bal,1552,JPY,Vol,L,Balance,2012-03-19
2014/12/31,Index,Index,114364520,Bal,1552,JPY,Vol,L,Balance,2012-03-19
2014/12/31,Industrials,Construction,28908000,HA,1793,JPY,Tail,L,Abe,2014-07-18
2014/12/31,Industrials,Construction,10286000,HA,1799,JPY,Tail,L,Abe,2014-07-18
2014/12/31,Industrials,Construction,27048000,HA,1810,JPY,TailRR,L,Abe,2013-10-29
2014/12/31,Industrials,Construction,520457000,HA,1812,JPY,TailRR,L,Abe,2014-03-14
2014/12/31,Industrials,Construction,88323000,HA,1812,JPY,TailRR,L,Abe,2014-03-14
2014/12/31,Industrials,Construction,25948000,HA,1812,JPY,TailRR,L,Abe,2014-03-14
2014/12/31,Industrials,Construction,1093596000,HA,1824,JPY,Tail,L,Abe,2014-09-30
2014/12/31,Industrials,Construction,169764000,HA,1824,JPY,Tail,L,Abe,2014-09-30
2014/12/31,Industrials,Construction,44415000,HA,1824,JPY,Tail,L,Abe,2014-09-30
2014/12/31,Industrials,Construction,3990000,HA,1867,JPY,Tail,L,Abe,2014-12-26
2014/12/31,Industrials,Construction,23193000,HA,1869,JPY,Tail,L,Abe,2013-09-05
2014/12/31,Industrials,Construction,512325000,HA,1885,JPY,TailSens,L,Abe,2013-10-15
2014/12/31,Industrials,Construction,94599000,HA,1885,JPY,TailSens,L,Abe,2013-10-15
2014/12/31,Industrials,Construction,90045000,HA,1885,JPY,TailSens,L,Abe,2013-10-15
2014/12/31,Industrials,Construction,725493600,HA,1893,JPY,Tail,L,Abe,2014-11-13
2014/12/31,Industrials,Construction,31588200,HA,1893,JPY,Tail,L,Abe,2014-11-13
2014/12/31,Industrials,Construction,118652400,HA,1893,JPY,Tail,L,Abe,2014-11-13
2014/12/31,Industrials,Construction,43475000,HA,1938,JPY,Tail,L,Abe,2013-10-29
2014/12/31,Industrials,Construction,699556000,HA,1944,JPY,Tail,L,North,2014-07-09
2014/12/31,Industrials,Construction,34244000,HA,1944,JPY,Tail,L,North,2014-07-09
2014/12/31,Industrials,Construction,123523000,HA,1944,JPY,Tail,L,North,2014-07-09
2014/12/31,Industrials,Construction,30704000,HA,1961,JPY,Tail,L,Abe,2014-06-10
2014/12/31,Industrials,Construction,115544000,HA,1961,JPY,Tail,L,Abe,2014-06-10
2014/12/31,Consumer Staples,Foods,1448825000,SM,2206,JPY,Tail,L,Foods,2014-10-31
2014/12/31,Consumer Staples,Foods,65450000,SM,2206,JPY,Tail,L,Foods,2014-10-31
2014/12/31,Consumer Staples,Foods,240550000,SM,2206,JPY,Tail,L,Foods,2014-10-31
2014/12/31,Consumer Staples,Foods,1437710000,SM,2282,JPY,Tail,L,Foods,2014-12-16
2014/12/31,Consumer Staples,Foods,60674000,SM,2282,JPY,Tail,L,Foods,2014-12-16
2014/12/31,Consumer Staples,Foods,229506000,SM,2282,JPY,Tail,L,Foods,2014-12-16
2014/12/31,Information Technology,Information  and  Communication,589360000,TT,2326,JPY,Tail,L,Blackswan,2013-07-25
2014/12/31,Information Technology,Information  and  Communication,44520000,TT,2326,JPY,Tail,L,Blackswan,2013-07-25
2014/12/31,Information Technology,Information  and  Communication,108120000,TT,2326,JPY,Tail,L,Blackswan,2013-07-25
2014/12/31,Health Care,Services,1364918100,HA,2413,JPY,TailRR,L,Healthcare,2013-09-12
2014/12/31,Health Care,Services,212617300,HA,2413,JPY,TailRR,L,Healthcare,2013-09-12
2014/12/31,Health Care,Services,54823300,HA,2413,JPY,TailRR,L,Healthcare,2013-09-12
2014/12/31,Information Technology,Services,1971187200,TT,2432,JPY,Tail,L,SNS,2014-12-12
2014/12/31,Information Technology,Services,313203600,TT,2432,JPY,Tail,L,SNS,2014-12-12
2014/12/31,Information Technology,Services,81843600,TT,2432,JPY,Tail,L,SNS,2014-12-12
2014/12/31,Information Technology,Services,45562500,TT,2468,JPY,Tail,L,Voice,2014-07-08
2014/12/31,Information Technology,Services,12500000,TT,2468,JPY,Tail,L,Voice,2014-07-08
2014/12/31,Consumer Staples,Foods,1422449400,SM,2503,JPY,Tail,S,Foods,2014-12-16
2014/12/31,Consumer Staples,Foods,58981800,SM,2503,JPY,Tail,S,Foods,2014-12-16
2014/12/31,Consumer Staples,Foods,225597900,SM,2503,JPY,Tail,S,Foods,2014-12-16
2014/12/31,Consumer Staples,Foods,553372400,SM,2607,JPY,Tail,L,Foods,2014-09-24
2014/12/31,Consumer Staples,Foods,94279400,SM,2607,JPY,Tail,L,Foods,2014-09-24
2014/12/31,Consumer Staples,Foods,26299800,SM,2607,JPY,Tail,L,Foods,2014-09-24
2014/12/31,Consumer Discretionary,Retail Trade,134300000,SM,2685,JPY,Tail,L,Retail,2014-09-18
2014/12/31,Consumer Discretionary,Retail Trade,34444000,SM,2685,JPY,Tail,L,Retail,2014-09-18
2014/12/31,Consumer Discretionary,Retail Trade,675121000,SM,2702,JPY,Tail,S,Yutai,2014-12-16
2014/12/31,Consumer Discretionary,Retail Trade,107304000,SM,2702,JPY,Tail,S,Yutai,2014-12-16
2014/12/31,Consumer Discretionary,Retail Trade,27878000,SM,2702,JPY,Tail,S,Yutai,2014-12-16
2014/12/31,Consumer Discretionary,Other Products,333926000,TT,2706,JPY,Tail,L,Gamesoft,2014-10-10
2014/12/31,Consumer Discretionary,Other Products,56735000,TT,2706,JPY,Tail,L,Gamesoft,2014-10-10
2014/12/31,Consumer Discretionary,Other Products,14589000,TT,2706,JPY,Tail,L,Gamesoft,2014-10-10
2014/12/31,Consumer Discretionary,Retail Trade,215812000,SM,2726,JPY,Tail,L,Retail,2014-12-15
2014/12/31,Consumer Discretionary,Wholesale Trade,181557600,TT,2767,JPY,Tail,S,Pachinko,2014-09-04
